"","list_name","name","label","district","subcounty","origin","level_1","settlement"
"88","subcounty.list","pacara","Pacara","adjumani","","","",""
"89","subcounty.list","pakele","Pakele","adjumani","","","",""
"90","subcounty.list","other","Other","adjumani","","","",""
"91","subcounty.list","adumi","Adumi","arua","","","",""
"92","subcounty.list","aii.vu","Aii-Vu","arua","","","",""
"93","subcounty.list","ajia","Ajia","arua","","","",""
"94","subcounty.list","anyiribu","Anyiribu","arua","","","",""
"95","subcounty.list","arivu","Arivu","arua","","","",""
"96","subcounty.list","aroi","Aroi","arua","","","",""
"97","subcounty.list","arua.hill.division","Arua Hill Division","arua","","","",""
"98","subcounty.list","ayivuni","Ayivuni","arua","","","",""
"99","subcounty.list","bileafe","Bileafe","arua","","","",""
"100","subcounty.list","dadamu","Dadamu","arua","","","",""
"101","subcounty.list","ewanga","Ewanga","arua","","","",""
"102","subcounty.list","katrini","Katrini","arua","","","",""
"103","subcounty.list","logiri","Logiri","arua","","","",""
"104","subcounty.list","manibe","Manibe","arua","","","",""
"105","subcounty.list","odupi","Odupi","arua","","","",""
"106","subcounty.list","offaka","Offaka","arua","","","",""
"107","subcounty.list","ogoko","Ogoko","arua","","","",""
"108","subcounty.list","okollo","Okollo","arua","","","",""
"109","subcounty.list","oluko","Oluko","arua","","","",""
"110","subcounty.list","omugo","Omugo","arua","","","",""
"111","subcounty.list","pajulu","Pajulu","arua","","","",""
"112","subcounty.list","pawor","Pawor","arua","","","",""
"113","subcounty.list","rhino.camp","Rhino Camp","arua","","","",""
"114","subcounty.list","rigbo","Rigbo","arua","","","",""
"115","subcounty.list","river.oli.division","River Oli Division","arua","","","",""
"116","subcounty.list","uleppi","Uleppi","arua","","","",""
"117","subcounty.list","uriama","Uriama","arua","","","",""
"118","subcounty.list","vurra","Vurra","arua","","","",""
"119","subcounty.list","other","Other","arua","","","",""
"120","subcounty.list","bugambe","Bugambe","hoima","","","",""
"121","subcounty.list","buhanika","Buhanika","hoima","","","",""
"122","subcounty.list","buhimba","Buhimba","hoima","","","",""
"123","subcounty.list","bujumbura","Bujumbura","hoima","","","",""
"124","subcounty.list","buseruka","Buseruka","hoima","","","",""
"125","subcounty.list","busiisi","Busiisi","hoima","","","",""
"126","subcounty.list","kabwoya","Kabwoya","hoima","","","",""
"127","subcounty.list","kahoora","Kahoora","hoima","","","",""
"128","subcounty.list","kigorobya","Kigorobya","hoima","","","",""
"129","subcounty.list","kigorobya.tc","Kigorobya TC","hoima","","","",""
"130","subcounty.list","kitoba","Kitoba","hoima","","","",""
"131","subcounty.list","kiziranfumbi","Kiziranfumbi","hoima","","","",""
"132","subcounty.list","kyabigambire","Kyabigambire","hoima","","","",""
"133","subcounty.list","kyangwali","Kyangwali","hoima","","","",""
"134","subcounty.list","mparo","Mparo","hoima","","","",""
"135","subcounty.list","other","Other","hoima","","","",""
"136","subcounty.list","birere","Birere","isingiro","","","",""
"137","subcounty.list","endiinzi","Endiinzi","isingiro","","","",""
"138","subcounty.list","isingiro.tc","Isingiro TC","isingiro","","","",""
"139","subcounty.list","kaberebere.tc","Kaberebere TC","isingiro","","","",""
"140","subcounty.list","kabingo","Kabingo","isingiro","","","",""
"141","subcounty.list","kabuyanda","Kabuyanda","isingiro","","","",""
"142","subcounty.list","kabuyanda.tc","Kabuyanda TC","isingiro","","","",""
"143","subcounty.list","kashumba","Kashumba","isingiro","","","",""
"144","subcounty.list","kikagate","Kikagate","isingiro","","","",""
"145","subcounty.list","masha","Masha","isingiro","","","",""
"146","subcounty.list","mbaare","Mbaare","isingiro","","","",""
"147","subcounty.list","ngarama","Ngarama","isingiro","","","",""
"148","subcounty.list","nyakitunda","Nyakitunda","isingiro","","","",""
"149","subcounty.list","nyamuyanja","Nyamuyanja","isingiro","","","",""
"150","subcounty.list","ruborogota","Ruborogota","isingiro","","","",""
"151","subcounty.list","rugaaga","Rugaaga","isingiro","","","",""
"152","subcounty.list","rushasha","Rushasha","isingiro","","","",""
"153","subcounty.list","other","Other","isingiro","","","",""
"154","subcounty.list","biguli","Biguli","kamwenge","","","",""
"155","subcounty.list","bihanga","Bihanga","kamwenge","","","",""
"156","subcounty.list","buhanda","Buhanda","kamwenge","","","",""
"157","subcounty.list","busiriba","Busiriba","kamwenge","","","",""
"158","subcounty.list","bwizi","Bwizi","kamwenge","","","",""
"159","subcounty.list","kabambiro","Kabambiro","kamwenge","","","",""
"160","subcounty.list","kahunge","Kahunge","kamwenge","","","",""
"161","subcounty.list","kamwenge","Kamwenge","kamwenge","","","",""
"162","subcounty.list","kamwenge.tc","Kamwenge TC","kamwenge","","","",""
"163","subcounty.list","kanara","Kanara","kamwenge","","","",""
"164","subcounty.list","kicheche","Kicheche","kamwenge","","","",""
"165","subcounty.list","mahyoro","Mahyoro","kamwenge","","","",""
"166","subcounty.list","nkoma","Nkoma","kamwenge","","","",""
"167","subcounty.list","ntara","Ntara","kamwenge","","","",""
"168","subcounty.list","nyabbani","Nyabbani","kamwenge","","","",""
"169","subcounty.list","other","Other","kamwenge","","","",""
"170","subcounty.list","bweyale.tc","Bweyale TC","kiryandongo","","","",""
"171","subcounty.list","kigumba","Kigumba","kiryandongo","","","",""
"172","subcounty.list","kigumba.tc","Kigumba TC","kiryandongo","","","",""
"173","subcounty.list","kiryandongo","Kiryandongo","kiryandongo","","","",""
"174","subcounty.list","kiryandongo.tc","Kiryandongo TC","kiryandongo","","","",""
"175","subcounty.list","masindi.port","Masindi Port","kiryandongo","","","",""
"176","subcounty.list","mutunda","Mutunda","kiryandongo","","","",""
"177","subcounty.list","other","Other","kiryandongo","","","",""
"178","subcounty.list","dranya","Dranya","koboko","","","",""
"179","subcounty.list","ludara","Ludara","koboko","","","",""
"180","subcounty.list","abuku","Abuku","koboko","","","",""
"181","subcounty.list","koboko.tc","Koboko TC","koboko","","","",""
"182","subcounty.list","kuluba","Kuluba","koboko","","","",""
"183","subcounty.list","lobule","Lobule","koboko","","","",""
"184","subcounty.list","other","Other","koboko","","","",""
"185","subcounty.list","hapuuyo","Hapuuyo","kyegegwa","","","",""
"186","subcounty.list","kabweza.kyegegwa","Kabweza Kyegegwa","kyegegwa","","","",""
"187","subcounty.list","kakabara","Kakabara","kyegegwa","","","",""
"188","subcounty.list","kasule","Kasule","kyegegwa","","","",""
"189","subcounty.list","kyegegwa.tc","Kyegegwa TC","kyegegwa","","","",""
"190","subcounty.list","mpara","Mpara","kyegegwa","","","",""
"191","subcounty.list","ruyonza","Ruyonza","kyegegwa","","","",""
"192","subcounty.list","rwentuha","Rwentuha","kyegegwa","","","",""
"193","subcounty.list","other","Other","kyegegwa","","","",""
"194","subcounty.list","agoro","Agoro","lamwo","","","",""
"195","subcounty.list","lamwo.tc","Lamwo TC","lamwo","","","",""
"196","subcounty.list","lokung","Lokung","lamwo","","","",""
"197","subcounty.list","madi.opei","Madi Opei","lamwo","","","",""
"198","subcounty.list","padibe.east","Padibe East","lamwo","","","",""
"199","subcounty.list","padibe.tc","Padibe TC","lamwo","","","",""
"200","subcounty.list","padibe.west","Padibe West","lamwo","","","",""
"201","subcounty.list","palabek.gem","Palabek Gem","lamwo","","","",""
"202","subcounty.list","palabek.kal","Palabek Kal","lamwo","","","",""
"203","subcounty.list","palabek.ogili","Palabek Ogili","lamwo","","","",""
"204","subcounty.list","paloga","Paloga","lamwo","","","",""
"205","subcounty.list","other","Other","lamwo","","","",""
"206","subcounty.list","aliba","Aliba","moyo","","","",""
"207","subcounty.list","difule","Difule","moyo","","","",""
"208","subcounty.list","gimara","Gimara","moyo","","","",""
"209","subcounty.list","itula","Itula","moyo","","","",""
"210","subcounty.list","laropi","Laropi","moyo","","","",""
"211","subcounty.list","lefori","Lefori","moyo","","","",""
"212","subcounty.list","metu","Metu","moyo","","","",""
"213","subcounty.list","moyo","Moyo","moyo","","","",""
"214","subcounty.list","moyo.tc","Moyo TC","moyo","","","",""
"215","subcounty.list","other","Other","moyo","","","",""
"216","subcounty.list","apo","Apo","yumbe","","","",""
"217","subcounty.list","ariwa","Ariwa","yumbe","","","",""
"218","subcounty.list","drajini","Drajini","yumbe","","","",""
"219","subcounty.list","kei","Kei","yumbe","","","",""
"220","subcounty.list","kerwa","Kerwa","yumbe","","","",""
"221","subcounty.list","kochi","Kochi","yumbe","","","",""
"222","subcounty.list","kufulu","Kufulu","yumbe","","","",""
"223","subcounty.list","kuru","Kuru","yumbe","","","",""
"224","subcounty.list","lodonga","Lodonga","yumbe","","","",""
"225","subcounty.list","midigo","Midigo","yumbe","","","",""
"226","subcounty.list","odravu","Odravu","yumbe","","","",""
"227","subcounty.list","romogi","Romogi","yumbe","","","",""
"228","subcounty.list","yumbe.tc","Yumbe TC","yumbe","","","",""
"229","subcounty.list","other","Other","yumbe","","","",""
"230","subcounty.list","other","Other","other","","","",""
"231","","","","","","","",""
"232","place.list","adjumani","Adjumani","adjumani","adjumani_tc","","",""
"233","place.list","cesia","Cesia","adjumani","adjumani_tc","","",""
"234","place.list","lajopi","Lajopi","adjumani","adjumani_tc","","",""
"235","place.list","mbwere","Mbwere","adjumani","adjumani_tc","","",""
"236","place.list","nimule","Nimule","adjumani","adjumani_tc","","",""
"237","place.list","palemo","Palemo","adjumani","adjumani_tc","","",""
"238","place.list","other","Other","adjumani","adjumani_tc","","",""
"239","place.list","endrebamvuku","Endrebamvuku","adjumani","adropi","","",""
"240","place.list","esia","Esia","adjumani","adropi","","",""
"241","place.list","kozeiza","Kozeiza","adjumani","adropi","","",""
"242","place.list","openzizi","Openzizi","adjumani","adropi","","",""
"243","place.list","openzizi","Openzizi","adjumani","adropi","","",""
"244","place.list","oyuwi","Oyuwi","adjumani","adropi","","",""
"245","place.list","pajau","Pajau","adjumani","adropi","","",""
"246","place.list","pakondo","Pakondo","adjumani","adropi","","",""
"247","place.list","paridi","Paridi","adjumani","adropi","","",""
"248","place.list","other","Other","adjumani","adropi","","",""
"249","place.list","arinyapi","Arinyapi","adjumani","arinyapi","","",""
"250","place.list","dufile","Dufile","adjumani","arinyapi","","",""
"251","place.list","gweri","Gweri","adjumani","arinyapi","","",""
"252","place.list","ilolo","Ilolo","adjumani","arinyapi","","",""
"253","place.list","lire","Lire","adjumani","arinyapi","","",""
"254","place.list","ovuvu","Ovuvu","adjumani","arinyapi","","",""
"255","place.list","other","Other","adjumani","arinyapi","","",""
"256","place.list","ciforo","Ciforo","adjumani","ciforo","","",""
"257","place.list","east","East","adjumani","ciforo","","",""
"258","place.list","east","East","adjumani","ciforo","","",""
"259","place.list","kenda","Kenda","adjumani","ciforo","","",""
"260","place.list","liri","Liri","adjumani","ciforo","","",""
"261","place.list","loa","Loa","adjumani","ciforo","","",""
"262","place.list","lowa","Lowa","adjumani","ciforo","","",""
"263","place.list","lowa","Lowa","adjumani","ciforo","","",""
"264","place.list","molope","Molope","adjumani","ciforo","","",""
"265","place.list","mugi","Mugi","adjumani","ciforo","","",""
"266","place.list","odunipi","Odunipi","adjumani","ciforo","","",""
"267","place.list","ogboro","Ogboro","adjumani","ciforo","","",""
"268","place.list","okangali","Okangali","adjumani","ciforo","","",""
"269","place.list","okangali","Okangali","adjumani","ciforo","","",""
"270","place.list","oligo","Oligo","adjumani","ciforo","","",""
"271","place.list","opejo","Opejo","adjumani","ciforo","","",""
"272","place.list","paeji","Paeji","adjumani","ciforo","","",""
"273","place.list","west","West","adjumani","ciforo","","",""
"274","place.list","other","Other","adjumani","ciforo","","",""
"275","place.list","adjugopi","Adjugopi","adjumani","dzaipi","","",""
"276","place.list","adzugopi","Adzugopi","adjumani","dzaipi","","",""
"277","place.list","angwarapi","Angwarapi","adjumani","dzaipi","","",""
"278","place.list","bari","Bari","adjumani","dzaipi","","",""
"279","place.list","dzaipi","Dzaipi","adjumani","dzaipi","","",""
"280","place.list","ege","Ege","adjumani","dzaipi","","",""
"281","place.list","jurumini","Jurumini","adjumani","dzaipi","","",""
"282","place.list","maiaciko","Maiaciko","adjumani","dzaipi","","",""
"283","place.list","makolombgili","Makolombgili","adjumani","dzaipi","","",""
"284","place.list","marindi","Marindi","adjumani","dzaipi","","",""
"285","place.list","mbere","Mbere","adjumani","dzaipi","","",""
"286","place.list","mudjopele","Mudjopele","adjumani","dzaipi","","",""
"287","place.list","obora","Obora","adjumani","dzaipi","","",""
"288","place.list","obu","Obu","adjumani","dzaipi","","",""
"289","place.list","oizi","Oizi","adjumani","dzaipi","","",""
"290","place.list","origo","Origo","adjumani","dzaipi","","",""
"291","place.list","oruanyi","Oruanyi","adjumani","dzaipi","","",""
"292","place.list","pagirinya","Pagirinya","adjumani","dzaipi","","",""
"293","place.list","pamari","Pamari","adjumani","dzaipi","","",""
"294","place.list","pamonye","Pamonye","adjumani","dzaipi","","",""
"295","place.list","panwiyo","Panwiyo","adjumani","dzaipi","","",""
"296","place.list","paoko","Paoko","adjumani","dzaipi","","",""
"297","place.list","pasia","Pasia","adjumani","dzaipi","","",""
"298","place.list","pawinyo","Pawinyo","adjumani","dzaipi","","",""
"299","place.list","yoro","Yoro","adjumani","dzaipi","","",""
"300","place.list","zaipi","Zaipi","adjumani","dzaipi","","",""
"301","place.list","pagirinya.refugee.transit.centre.2","Pagirinya Refugee Transit Centre 2","adjumani","dzaipi","","",""
"302","place.list","other","Other","adjumani","dzaipi","","",""
"303","place.list","zoka","Zoka","adjumani","itirikwa","","",""
"304","place.list","other","Other","adjumani","itirikwa","","",""
"305","place.list","kureku","Kureku","adjumani","ofua","","",""
"306","place.list","mireyi","Mireyi","adjumani","ofua","","",""
"307","place.list","odu","Odu","adjumani","ofua","","",""
"308","place.list","ofua","Ofua","adjumani","ofua","","",""
"309","place.list","ofua","Ofua","adjumani","ofua","","",""
"310","place.list","olwenyi","Olwenyi","adjumani","ofua","","",""
"311","place.list","opi","Opi","adjumani","ofua","","",""
"312","place.list","pagoro","Pagoro","adjumani","ofua","","",""
"313","place.list","pagoro","Pagoro","adjumani","ofua","","",""
"314","place.list","other","Other","adjumani","ofua","","",""
"315","place.list","kalidini","Kalidini","adjumani","okusijoni","","",""
"316","place.list","kiraba","Kiraba","adjumani","okusijoni","","",""
"317","place.list","kolididi","Kolididi","adjumani","okusijoni","","",""
"318","place.list","maaji","Maaji","adjumani","okusijoni","","",""
"319","place.list","obilokongo","Obilokongo","adjumani","okusijoni","","",""
"320","place.list","peyaru","Peyaru","adjumani","okusijoni","","",""
"321","place.list","other","Other","adjumani","okusijoni","","",""
"322","place.list","agojo","Agojo","adjumani","pacara","","",""
"323","place.list","ajujo","Ajujo","adjumani","pacara","","",""
"324","place.list","ayojo","Ayojo","adjumani","pacara","","",""
"325","place.list","eleukwe","Eleukwe","adjumani","pacara","","",""
"326","place.list","elevhwe","Elevhwe","adjumani","pacara","","",""
"327","place.list","jihwa","Jihwa","adjumani","pacara","","",""
"328","place.list","kolamairo","Kolamairo","adjumani","pacara","","",""
"329","place.list","marindi","Marindi","adjumani","pacara","","",""
"330","place.list","marindi","Marindi","adjumani","pacara","","",""
"331","place.list","michele","Michele","adjumani","pacara","","",""
"332","place.list","nyeu","Nyeu","adjumani","pacara","","",""
"333","place.list","ogujebbe","Ogujebbe","adjumani","pacara","","",""
"334","place.list","ogujere","Ogujere","adjumani","pacara","","",""
"335","place.list","pachara","Pachara","adjumani","pacara","","",""
"336","place.list","uderi","Uderi","adjumani","pacara","","",""
"337","place.list","umi","Umi","adjumani","pacara","","",""
"338","place.list","other","Other","adjumani","pacara","","",""
"339","place.list","foda","Foda","adjumani","pakele","","",""
"340","place.list","goli","Goli","adjumani","pakele","","",""
"341","place.list","jurumini","Jurumini","adjumani","pakele","","",""
"342","place.list","leyia","Leyia","adjumani","pakele","","",""
"343","place.list","lowa","Lowa","adjumani","pakele","","",""
"344","place.list","niatoli","Niatoli","adjumani","pakele","","",""
"345","place.list","olia","Olia","adjumani","pakele","","",""
"346","place.list","pabongo","Pabongo","adjumani","pakele","","",""
"347","place.list","padula","Padula","adjumani","pakele","","",""
"348","place.list","pajoloro","Pajoloro","adjumani","pakele","","",""
"349","place.list","pakeli","Pakeli","adjumani","pakele","","",""
"350","place.list","palaro","Palaro","adjumani","pakele","","",""
"351","place.list","paloga","Paloga","adjumani","pakele","","",""
"352","place.list","paoja","Paoja","adjumani","pakele","","",""
"353","place.list","patali","Patali","adjumani","pakele","","",""
"354","place.list","tianyu","Tianyu","adjumani","pakele","","",""
"355","place.list","other","Other","adjumani","pakele","","",""
"356","place.list","other","Other","adjumani","other","","",""
"357","place.list","adumi","Adumi","arua","adumi","","",""
"358","place.list","mite","Mite","arua","adumi","","",""
"359","place.list","nvio","Nvio","arua","adumi","","",""
"360","place.list","nyio","Nyio","arua","adumi","","",""
"361","place.list","panduru","Panduru","arua","adumi","","",""
"362","place.list","uzu","Uzu","arua","adumi","","",""
"363","place.list","other","Other","arua","adumi","","",""
"364","place.list","adu","Adu","arua","aii_vu","","",""
"365","place.list","aiivu","Aiivu","arua","aii_vu","","",""
"366","place.list","cilio","Cilio","arua","aii_vu","","",""
"367","place.list","leju","Leju","arua","aii_vu","","",""
"368","place.list","orukurua","Orukurua","arua","aii_vu","","",""
"369","place.list","otrevu","Otrevu","arua","aii_vu","","",""
"370","place.list","owaffa","Owaffa","arua","aii_vu","","",""
"371","place.list","paranga","Paranga","arua","aii_vu","","",""
"372","place.list","terego","Terego","arua","aii_vu","","",""
"373","place.list","tondolo","Tondolo","arua","aii_vu","","",""
"374","place.list","other","Other","arua","aii_vu","","",""
"375","place.list","olevu","Olevu","arua","ajia","","",""
"376","place.list","ajia","Ajia","arua","ajia","","",""
"377","place.list","alivu","Alivu","arua","ajia","","",""
"378","place.list","alui","Alui","arua","ajia","","",""
"379","place.list","arivu","Arivu","arua","ajia","","",""
"380","place.list","aupi","Aupi","arua","ajia","","",""
"381","place.list","ayaa","Ayaa","arua","ajia","","",""
"382","place.list","ayayia","Ayayia","arua","ajia","","",""
"383","place.list","bondo","Bondo","arua","ajia","","",""
"384","place.list","nyrivu","Nyrivu","arua","ajia","","",""
"385","place.list","olevu","Olevu","arua","ajia","","",""
"386","place.list","olevu","Olevu","arua","ajia","","",""
"387","place.list","ombavu","Ombavu","arua","ajia","","",""
"388","place.list","ombokoro","Ombokoro","arua","ajia","","",""
"389","place.list","omoo","Omoo","arua","ajia","","",""
"390","place.list","udurutu","Udurutu","arua","ajia","","",""
"391","place.list","other","Other","arua","ajia","","",""
"392","place.list","anyiribu","Anyiribu","arua","anyiribu","","",""
"393","place.list","ocwanyo","Ocwanyo","arua","anyiribu","","",""
"394","place.list","ofaka","Ofaka","arua","anyiribu","","",""
"395","place.list","offaka","Offaka","arua","anyiribu","","",""
"396","place.list","ombachi","Ombachi","arua","anyiribu","","",""
"397","place.list","omua","Omua","arua","anyiribu","","",""
"398","place.list","other","Other","arua","anyiribu","","",""
"399","place.list","awika","Awika","arua","arivu","","",""
"400","place.list","other","Other","arua","arivu","","",""
"401","place.list","aliba","Aliba","arua","aroi","","",""
"402","place.list","lokiragodo","Lokiragodo","arua","aroi","","",""
"403","place.list","michu","Michu","arua","aroi","","",""
"404","place.list","other","Other","arua","aroi","","",""
"405","place.list","mvara","Mvara","arua","arua_hill_division","","",""
"406","place.list","arua","Arua","arua","arua_hill_division","","",""
"407","place.list","other","Other","arua","arua_hill_division","","",""
"408","place.list","abia","Abia","arua","ayivuni","","",""
"409","place.list","kijoro","Kijoro","arua","ayivuni","","",""
"410","place.list","maracha","Maracha","arua","ayivuni","","",""
"411","place.list","mbaraka","Mbaraka","arua","ayivuni","","",""
"412","place.list","mingoro","Mingoro","arua","ayivuni","","",""
"413","place.list","nyaute","Nyaute","arua","ayivuni","","",""
"414","place.list","other","Other","arua","ayivuni","","",""
"415","place.list","bilefe","Bilefe","arua","bileafe","","",""
"416","place.list","anzaiya","Anzaiya","arua","bileafe","","",""
"417","place.list","lukuma","Lukuma","arua","bileafe","","",""
"418","place.list","ocodri","Ocodri","arua","bileafe","","",""
"419","place.list","okalara","Okalara","arua","bileafe","","",""
"420","place.list","tangala","Tangala","arua","bileafe","","",""
"421","place.list","wanica","Wanica","arua","bileafe","","",""
"422","place.list","other","Other","arua","bileafe","","",""
"423","place.list","ayivu","Ayivu","arua","dadamu","","",""
"424","place.list","paraka","Paraka","arua","dadamu","","",""
"425","place.list","other","Other","arua","dadamu","","",""
"426","place.list","other","Other","arua","ewanga","","",""
"427","place.list","katrini","Katrini","arua","katrini","","",""
"428","place.list","ombatini","Ombatini","arua","katrini","","",""
"429","place.list","owafa","Owafa","arua","katrini","","",""
"430","place.list","wandi","Wandi","arua","katrini","","",""
"431","place.list","other","Other","arua","katrini","","",""
"432","place.list","alenzu","Alenzu","arua","logiri","","",""
"433","place.list","anyavu","Anyavu","arua","logiri","","",""
"434","place.list","asasi","Asasi","arua","logiri","","",""
"435","place.list","auwara","Auwara","arua","logiri","","",""
"436","place.list","edrivu","Edrivu","arua","logiri","","",""
"437","place.list","lazebu","Lazebu","arua","logiri","","",""
"438","place.list","logiri","Logiri","arua","logiri","","",""
"439","place.list","other","Other","arua","logiri","","",""
"440","place.list","abi","Abi","arua","manibe","","",""
"441","place.list","ewadri","Ewadri","arua","manibe","","",""
"442","place.list","oleko","Oleko","arua","manibe","","",""
"443","place.list","ombache","Ombache","arua","manibe","","",""
"444","place.list","oreko","Oreko","arua","manibe","","",""
"445","place.list","yole","Yole","arua","manibe","","",""
"446","place.list","ombaci","Ombaci","arua","manibe","","",""
"447","place.list","other","Other","arua","manibe","","",""
"448","place.list","aranga","Aranga","arua","odupi","","",""
"449","place.list","azapi","Azapi","arua","odupi","","",""
"450","place.list","lugbari","Lugbari","arua","odupi","","",""
"451","place.list","lugbari","Lugbari","arua","odupi","","",""
"452","place.list","mvepi","Mvepi","arua","odupi","","",""
"453","place.list","ngurua","Ngurua","arua","odupi","","",""
"454","place.list","okale","Okale","arua","odupi","","",""
"455","place.list","oktopari","Oktopari","arua","odupi","","",""
"456","place.list","ombokoro","Ombokoro","arua","odupi","","",""
"457","place.list","simbili","Simbili","arua","odupi","","",""
"458","place.list","udipi","Udipi","arua","odupi","","",""
"459","place.list","utumbari","Utumbari","arua","odupi","","",""
"460","place.list","other","Other","arua","odupi","","",""
"461","place.list","adra","Adra","arua","offaka","","",""
"462","place.list","adraa","Adraa","arua","offaka","","",""
"463","place.list","anya","Anya","arua","offaka","","",""
"464","place.list","eceko","Eceko","arua","offaka","","",""
"465","place.list","elibu","Elibu","arua","offaka","","",""
