loop_position,capacity,journeys,litres,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
1,20.0,5,100,76,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,16,2480669,40a0b15b-d2cf-4771-9e1b-cc8c80d97e78,2018-04-23T15:58:39,
2,5.0,5,25,77,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,16,2480669,40a0b15b-d2cf-4771-9e1b-cc8c80d97e78,2018-04-23T15:58:39,
1,20.0,3,60,78,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,17,2480671,d05e679c-4854-4c19-a5f8-fdc923596d86,2018-04-23T15:58:40,
2,20.0,3,60,79,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,17,2480671,d05e679c-4854-4c19-a5f8-fdc923596d86,2018-04-23T15:58:40,
3,20.0,3,60,80,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,17,2480671,d05e679c-4854-4c19-a5f8-fdc923596d86,2018-04-23T15:58:40,
4,20.0,3,60,81,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,17,2480671,d05e679c-4854-4c19-a5f8-fdc923596d86,2018-04-23T15:58:40,
5,10.0,3,30,82,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,17,2480671,d05e679c-4854-4c19-a5f8-fdc923596d86,2018-04-23T15:58:40,
6,5.0,3,15,83,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,17,2480671,d05e679c-4854-4c19-a5f8-fdc923596d86,2018-04-23T15:58:40,
1,20.0,2,40,84,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,18,2480689,e7989281-608a-4c10-bb81-7459ab1e4efc,2018-04-23T15:59:11,
2,10.0,1,10,85,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,18,2480689,e7989281-608a-4c10-bb81-7459ab1e4efc,2018-04-23T15:59:11,
3,5.0,3,15,86,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,18,2480689,e7989281-608a-4c10-bb81-7459ab1e4efc,2018-04-23T15:59:11,
1,20.0,3,60,87,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,19,2480690,d3ee8d3e-22ba-4393-8ea2-d9de952be1d2,2018-04-23T15:59:13,
2,10.0,1,10,88,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,19,2480690,d3ee8d3e-22ba-4393-8ea2-d9de952be1d2,2018-04-23T15:59:13,
3,5.0,4,20,89,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,19,2480690,d3ee8d3e-22ba-4393-8ea2-d9de952be1d2,2018-04-23T15:59:13,
1,20.0,1,20,90,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,20,2480691,64b1623c-69a6-4210-92d2-3273446ab1dd,2018-04-23T15:59:15,
2,20.0,1,20,91,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,20,2480691,64b1623c-69a6-4210-92d2-3273446ab1dd,2018-04-23T15:59:15,
3,10.0,1,10,92,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,20,2480691,64b1623c-69a6-4210-92d2-3273446ab1dd,2018-04-23T15:59:15,
1,20.0,4,80,93,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,21,2480692,425bf6d6-7724-4dc1-98b1-f908d2966d7f,2018-04-23T15:59:16,
2,5.0,6,30,94,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,21,2480692,425bf6d6-7724-4dc1-98b1-f908d2966d7f,2018-04-23T15:59:16,
3,3.0,2,6,95,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,21,2480692,425bf6d6-7724-4dc1-98b1-f908d2966d7f,2018-04-23T15:59:16,
1,20.0,1,20,96,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,22,2480693,d8e9846b-fb94-4d61-b6b2-8c9194310fb0,2018-04-23T15:59:18,
2,20.0,1,20,97,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,22,2480693,d8e9846b-fb94-4d61-b6b2-8c9194310fb0,2018-04-23T15:59:18,
3,20.0,1,20,98,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,22,2480693,d8e9846b-fb94-4d61-b6b2-8c9194310fb0,2018-04-23T15:59:18,
4,20.0,1,20,99,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,22,2480693,d8e9846b-fb94-4d61-b6b2-8c9194310fb0,2018-04-23T15:59:18,
5,20.0,1,20,100,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,22,2480693,d8e9846b-fb94-4d61-b6b2-8c9194310fb0,2018-04-23T15:59:18,
6,10.0,1,10,101,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,22,2480693,d8e9846b-fb94-4d61-b6b2-8c9194310fb0,2018-04-23T15:59:18,
1,20.0,4,80,102,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,23,2480694,fcba1c1d-8436-4e5e-8d3f-192ee9a26294,2018-04-23T15:59:19,
2,10.0,1,10,103,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,23,2480694,fcba1c1d-8436-4e5e-8d3f-192ee9a26294,2018-04-23T15:59:19,
3,5.0,1,5,104,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,23,2480694,fcba1c1d-8436-4e5e-8d3f-192ee9a26294,2018-04-23T15:59:19,
1,20.0,1,20,105,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
2,20.0,1,20,106,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
3,20.0,1,20,107,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
4,10.0,1,10,108,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
5,10.0,1,10,109,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
6,5.0,1,5,110,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
7,5.0,1,5,111,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,24,2480695,f28bd521-0a9e-4812-8f7f-99baed3e9ea6,2018-04-23T15:59:21,
1,20.0,1,20,112,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,25,2480696,6a5b2db7-4291-4786-a691-c5661349d583,2018-04-23T15:59:24,
2,20.0,1,20,113,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,25,2480696,6a5b2db7-4291-4786-a691-c5661349d583,2018-04-23T15:59:24,
3,20.0,1,20,114,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,25,2480696,6a5b2db7-4291-4786-a691-c5661349d583,2018-04-23T15:59:24,
4,20.0,1,20,115,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,25,2480696,6a5b2db7-4291-4786-a691-c5661349d583,2018-04-23T15:59:24,
1,20.0,2,40,116,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,26,2480699,957f5ebd-06e0-4058-9352-d011a1a6531a,2018-04-23T16:00:00,
2,20.0,1,20,117,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,26,2480699,957f5ebd-06e0-4058-9352-d011a1a6531a,2018-04-23T16:00:00,
3,5.0,2,10,118,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,26,2480699,957f5ebd-06e0-4058-9352-d011a1a6531a,2018-04-23T16:00:00,
1,20.0,2,40,119,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
2,20.0,2,40,120,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
3,20.0,2,40,121,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
4,20.0,1,20,122,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
5,20.0,1,20,123,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
6,20.0,1,20,124,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
7,10.0,2,20,125,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
8,10.0,1,10,126,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
9,5.0,1,5,127,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,27,2480700,c7ba9a4f-9ab9-4d48-abb2-61950e962533,2018-04-23T16:00:03,
1,20.0,2,40,128,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
2,20.0,2,40,129,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
3,20.0,1,20,130,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
4,20.0,1,20,131,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
5,5.0,1,5,132,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
6,5.0,1,5,133,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
7,5.0,1,5,134,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,28,2480701,5b846757-c316-40a1-a207-f53f39a30281,2018-04-23T16:00:06,
1,20.0,2,40,135,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,29,2480702,84024186-38f7-4521-8e95-38ad2db4cec6,2018-04-23T16:00:09,
2,20.0,1,20,136,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,29,2480702,84024186-38f7-4521-8e95-38ad2db4cec6,2018-04-23T16:00:09,
3,5.0,3,15,137,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,29,2480702,84024186-38f7-4521-8e95-38ad2db4cec6,2018-04-23T16:00:09,
4,5.0,3,15,138,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,29,2480702,84024186-38f7-4521-8e95-38ad2db4cec6,2018-04-23T16:00:09,
5,5.0,2,10,139,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,29,2480702,84024186-38f7-4521-8e95-38ad2db4cec6,2018-04-23T16:00:09,
6,5.0,2,10,140,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,29,2480702,84024186-38f7-4521-8e95-38ad2db4cec6,2018-04-23T16:00:09,
1,20.0,3,60,141,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,30,2480703,313e493b-5e6d-42a0-a88a-24ea5850faea,2018-04-23T16:00:13,
2,5.0,3,15,142,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,30,2480703,313e493b-5e6d-42a0-a88a-24ea5850faea,2018-04-23T16:00:13,
1,20.0,1,20,143,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,31,2480704,eb8b6733-5ad5-4501-9a8f-f6b90c74ec42,2018-04-23T16:00:15,
1,20.0,3,60,144,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
2,20.0,3,60,145,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
3,20.0,3,60,146,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
4,20.0,3,60,147,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
5,20.0,3,60,148,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
6,10.0,3,30,149,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
7,5.0,3,15,150,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,32,2480705,50d81737-289f-4c20-a54c-02a9e9f05d5c,2018-04-23T16:00:18,
1,20.0,2,40,151,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,33,2480706,15ccf090-8172-454e-b298-dbb6f87f300b,2018-04-23T16:00:21,
2,20.0,2,40,152,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,33,2480706,15ccf090-8172-454e-b298-dbb6f87f300b,2018-04-23T16:00:21,
